module,instrument,side,entry_time,exit_time,entry_price,exit_price,pnl_pips,stop_pips,pip_size,partial_fills,units,pnl_dollars,balance_before_entry,usd_notional,entry_year,balance_after_exit,exit_year,balance_before_exit
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2021-02-11 14:55:00+00:00,2021-02-11 17:55:00+00:00,1.38156,1.38091,6.499999999998174,25.0,0.0001,"[{""time"": ""2021-02-11T17:55:00+00:00"", ""price"": 1.38091, ""fraction"": 1.0, ""pips"": 6.499999999998174}]",17400.0,11.309999999996823,1500.0,24039.143999999997,2021,1511.3099999999968,2021,1500.0
gbpjpy_short_h12-15_rr1.25_imb3.5_node3_ret10_sig1.05_sl30_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl240,gbpjpy,short,2021-02-17 14:15:00+00:00,2021-02-17 14:45:00+00:00,146.854,146.744,16.60000000000082,30.0,0.01,"[{""time"": ""2021-02-17T14:37:00+00:00"", ""price"": 146.604, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2021-02-17T14:45:00+00:00"", ""price"": 146.744, ""fraction"": 0.6, ""pips"": 11.000000000001364}]",15501.010456549962,24.251487800001136,1511.3099999999968,21456.88619921787,2021,1535.5614877999978,2021,1511.3099999999968
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2021-03-02 14:52:00+00:00,2021-03-02 17:52:00+00:00,106.729,106.739,-1.0000000000005116,30.0,0.01,"[{""time"": ""2021-03-02T17:52:00+00:00"", ""price"": 106.739, ""fraction"": 1.0, ""pips"": -1.0000000000005116}]",15840.371165545264,-1.4843761048740904,1535.5614877999978,15840.371165545264,2021,1534.0771116951237,2021,1535.5614877999978
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2021-03-10 13:11:00+00:00,2021-03-10 16:11:00+00:00,108.531,108.643,-11.199999999999477,30.0,0.01,"[{""time"": ""2021-03-10T16:11:00+00:00"", ""price"": 108.643, ""fraction"": 1.0, ""pips"": -11.199999999999477}]",16092.210665368044,-16.608941529285097,1534.0771116951237,16092.210665368044,2021,1517.4681701658385,2021,1534.0771116951237
gbpjpy_short_h12-15_rr1.25_imb3.5_node3_ret10_sig1.05_sl30_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl240,gbpjpy,short,2021-04-22 13:28:00+00:00,2021-04-22 15:20:00+00:00,149.779,149.631,18.879999999999768,30.0,0.01,"[{""time"": ""2021-04-22T14:04:00+00:00"", ""price"": 149.529, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2021-04-22T15:20:00+00:00"", ""price"": 149.631, ""fraction"": 0.6, ""pips"": 14.799999999999613}]",15862.023967562234,27.69480575097299,1517.4681701658385,21975.565245140067,2021,1545.1629759168115,2021,1517.4681701658385
gbpjpy_short_h12-15_rr1.25_imb3.5_node3_ret10_sig1.05_sl30_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl240,gbpjpy,short,2021-05-19 14:04:00+00:00,2021-05-19 14:29:00+00:00,154.006,153.94199999999998,13.840000000001282,30.0,0.01,"[{""time"": ""2021-05-19T14:12:00+00:00"", ""price"": 153.756, ""fraction"": 0.4, ""pips"": 25}, {""time"": ""2021-05-19T14:29:00+00:00"", ""price"": 153.94199999999998, ""fraction"": 0.6, ""pips"": 6.400000000002137}]",16236.953691134577,20.672220400467626,1545.1629759168115,23002.161631314255,2021,1565.8351963172793,2021,1545.1629759168115
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2021-05-19 13:09:00+00:00,2021-05-19 15:41:00+00:00,108.826,108.729,12.789999999999594,30.0,0.01,"[{""time"": ""2021-05-19T14:55:00+00:00"", ""price"": 108.62599999999999, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2021-05-19T15:41:00+00:00"", ""price"": 108.729, ""fraction"": 0.7, ""pips"": 9.69999999999942}]",16254.877581655215,19.103879979909546,1545.1629759168115,16254.877581655215,2021,1584.9390762971889,2021,1565.8351963172793
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2021-06-04 13:04:00+00:00,2021-06-04 14:51:00+00:00,109.717,109.521,19.719999999999857,30.0,0.01,"[{""time"": ""2021-06-04T13:50:00+00:00"", ""price"": 109.517, ""fraction"": 0.3, ""pips"": 20}, {""time"": ""2021-06-04T14:51:00+00:00"", ""price"": 109.521, ""fraction"": 0.7, ""pips"": 19.599999999999795}]",16806.99246191476,30.21316529842766,1584.9390762971889,16806.99246191476,2021,1615.1522415956165,2021,1584.9390762971889
usdjpy_short_h12-15_rr1.25_imb2.5_node3_ret5_sig1_sl30_tp20-40-60_frac0.3-0.3-0.3_trail15_ttl180,usdjpy,short,2021-06-09 13:33:00+00:00,2021-06-09 14:32:00+00:00,109.23,109.53,-29.999999999999716,30.0,0.01,"[{""time"": ""2021-06-09T14:32:00+00:00"", ""price"": 109.53, ""fraction"": 1.0, ""pips"": -29.999999999999716}]",17056.026514692527,-46.83941500627243,1615.1522415956165,17056.026514692527,2021,1568.312826589344,2021,1615.1522415956165
gbpusd_short_h12-15_rr1.25_imb4_node3_ret5_sig1_sl25_tp25-50-75_frac0.4-0.3-0.2_trail20_ttl180,gbpusd,short,2021-06-09 14:23:00+00:00,2021-06-09 17:24:00+00:00,1.41282,1.41172,10.999999999998789,25.0,0.0001,"[{""time"": ""2021-06-09T17:24:00+00:00"", ""price"": 1.41172, ""fraction"": 1.0, ""pips"": 10.999999999998789}]",18735.76600250915,20.609342602757796,1615.1522415956165,26470.264923664978,2021,1588.9221691921018,2021,1568.312826589344
