week,start_nav,end_nav,pnl_dollars,trades,weekly_return_pct
2020-12-28/2021-01-03,1500.0,1500.0,0.0,0,0.0
2021-01-04/2021-01-10,1500.0,1500.0,0.0,0,0.0
2021-01-11/2021-01-17,1500.0,1500.0,0.0,0,0.0
2021-01-18/2021-01-24,1500.0,1500.0,0.0,0,0.0
2021-01-25/2021-01-31,1500.0,1500.0,0.0,0,0.0
2021-02-01/2021-02-07,1500.0,1500.0,0.0,0,0.0
2021-02-08/2021-02-14,1500.0,1511.3099999999968,11.309999999996823,1,0.7539999999997882
2021-02-15/2021-02-21,1511.3099999999968,1535.5614877999978,24.251487800001136,1,1.604666666666743
2021-02-22/2021-02-28,1535.5614877999978,1535.5614877999978,0.0,0,0.0
2021-03-01/2021-03-07,1535.5614877999978,1534.0771116951237,-1.4843761048740904,1,-0.09666666666672263
2021-03-08/2021-03-14,1534.0771116951237,1517.4681701658385,-16.608941529285097,1,-1.0826666666666207
2021-03-15/2021-03-21,1517.4681701658385,1517.4681701658385,0.0,0,0.0
2021-03-22/2021-03-28,1517.4681701658385,1517.4681701658385,0.0,0,0.0
2021-03-29/2021-04-04,1517.4681701658385,1517.4681701658385,0.0,0,0.0
2021-04-05/2021-04-11,1517.4681701658385,1517.4681701658385,0.0,0,0.0
2021-04-12/2021-04-18,1517.4681701658385,1517.4681701658385,0.0,0,0.0
2021-04-19/2021-04-25,1517.4681701658385,1545.1629759168115,27.69480575097299,1,1.8250666666666415
2021-04-26/2021-05-02,1545.1629759168115,1545.1629759168115,0.0,0,0.0
2021-05-03/2021-05-09,1545.1629759168115,1545.1629759168115,0.0,0,0.0
2021-05-10/2021-05-16,1545.1629759168115,1545.1629759168115,0.0,0,0.0
2021-05-17/2021-05-23,1545.1629759168115,1584.9390762971886,39.77610038037717,2,2.57423333333342
2021-05-24/2021-05-30,1584.9390762971886,1584.9390762971886,0.0,0,0.0
2021-05-31/2021-06-06,1584.9390762971886,1615.1522415956163,30.21316529842766,1,1.906266666666645
2021-06-07/2021-06-13,1615.1522415956163,1602.2850046350077,-12.867236960608555,3,-0.7966578400000812
2021-06-14/2021-06-20,1602.2850046350077,1602.2850046350077,0.0,0,0.0
2021-06-21/2021-06-27,1602.2850046350077,1586.486474489306,-15.798530145701772,1,-0.9860000000000313
2021-06-28/2021-07-04,1586.486474489306,1620.7011706269675,34.21469613766164,1,2.1566333333333576
2021-07-05/2021-07-11,1620.7011706269675,1620.7011706269675,0.0,0,0.0
2021-07-12/2021-07-18,1620.7011706269675,1695.6667032743164,74.96553264734901,2,4.625499999999905
2021-07-19/2021-07-25,1695.6667032743164,1695.6667032743164,0.0,0,0.0
2021-07-26/2021-08-01,1695.6667032743164,1733.383417755248,37.71671448093168,1,2.224300000000068
2021-08-02/2021-08-08,1733.383417755248,1792.820441796709,59.43702404146086,1,3.4289600000000364
2021-08-09/2021-08-15,1792.820441796709,1771.3719642224742,-21.448477574234747,2,-1.196353916666626
2021-08-16/2021-08-22,1771.3719642224742,1771.3719642224742,0.0,0,0.0
2021-08-23/2021-08-29,1771.3719642224742,1790.43640175164,19.064437529165776,2,1.076252640000086
2021-08-30/2021-09-05,1790.43640175164,1808.60933122942,18.172929477779835,1,1.0150000000000325
2021-09-06/2021-09-12,1808.60933122942,1756.1596606237679,-52.44967060565205,1,-2.899999999999936
2021-09-13/2021-09-19,1756.1596606237679,1864.6527737456256,108.4931131218577,7,6.177861589379763
2021-09-20/2021-09-26,1864.6527737456256,1839.5620060221033,-25.090767723522212,1,-1.3456000000000579
2021-09-27/2021-10-03,1839.5620060221033,1858.5207232581986,18.958717236095318,2,1.03061039388892
2021-10-04/2021-10-10,1858.5207232581986,1809.5081368880244,-49.012586370174134,2,-2.6371826666667153
2021-10-11/2021-10-17,1809.5081368880244,1797.7885558547785,-11.719581033246044,1,-0.6476666666667352
2021-10-18/2021-10-24,1797.7885558547785,1809.4322330681966,11.643677213418242,1,0.647666666666602
2021-10-25/2021-10-31,1809.4322330681966,1809.4322330681966,0.0,0,0.0
2021-11-01/2021-11-07,1809.4322330681966,1840.2516891499693,30.81945608177251,1,1.7032666666666474
2021-11-08/2021-11-14,1840.2516891499693,1840.2516891499693,0.0,0,0.0
2021-11-15/2021-11-21,1840.2516891499693,1840.2516891499693,0.0,0,0.0
2021-11-22/2021-11-28,1840.2516891499693,1840.2516891499693,0.0,0,0.0
2021-11-29/2021-12-05,1840.2516891499693,1840.2516891499693,0.0,0,0.0
2021-12-06/2021-12-12,1840.2516891499693,1840.2516891499693,0.0,0,0.0
2021-12-13/2021-12-19,1840.2516891499693,1840.2516891499693,0.0,0,0.0
2021-12-20/2021-12-26,1840.2516891499693,1840.2516891499693,0.0,0,0.0
2021-12-27/2022-01-02,1840.2516891499693,1840.2516891499693,0.0,0,0.0
2022-01-03/2022-01-09,1840.2516891499693,1840.2516891499693,0.0,0,0.0
2022-01-10/2022-01-16,1840.2516891499693,1826.5709317712196,-13.680757378749654,2,-0.7434177324444624
